word,emotion
alcoa,positive
alcock,positive
alcohol-dependent,negative
alcoholic,negative
alcoholic,negative
alcoholic,positive
alcoholism,negative
alcudia,positive
aldehyde,negative
alder,positive
alderman,negative
alderman,negative
aldo,negative
aldous,negative
ale,positive
alendronate,negative
alergies,negative
alert,negative
alert,positive
alerting,positive
alertness,positive
alertnow,positive
aletris,negative
aleutian,negative
alexa,positive
alexander,positive
alexandra,negative
alexandre,positive
alexandria,positive
alexei,positive
alexi,positive
alexia,positive
alfalfa,negative
alfilaria,positive
alfileria,positive
alfio,positive
alfredo,negative
alga,negative
algae,negative
algal,negative
algal,negative
algal,negative
algarve,positive
algebraic,positive
algebraical,positive
algebraischen,negative
algerian,negative
algirdas,negative
algoa,positive
algoma,positive
algorithm,positive
algorithm,positive
algorithmic,positive
alhambra,negative
ali,negative
alia,negative
alias,positive
alias,negative
aliased,negative
aliasing,negative
alibi,negative
alice,negative
alien,negative
alien,negative
alien,negative
alienable,negative
alienate,negative
alienated,negative
alienation,negative
alienee,negative
alient,negative
alienware,positive
aliev,positive
aligence,positive
alight,negative
alight,positive
align,positive
aligned,positive
aligning,positive
alike,positive
alikeness,positive
aliment,positive
aliment,positive
alimental,positive
alimentary,positive
alimentation,positive
alimony,positive
alin,positive
alina,positive
aline,positive
alinement,positive
aliquant,positive
aliquot,negative
alison,positive
alive,positive
aliveness,positive
alivio,positive
alkali,positive
alkali,positive
alkalic,positive
alkalify,positive
alkaline-loving,negative
alkaline,positive
alkaline,positive
alkaline,negative
alkalinity,positive
alkalise,positive
alkaliser,negative
alkalize,positive
alkalizer,negative
alkanet,positive
alki,positive
alky,negative
alkyl,positive
alkylating,negative
all-embracing,positive
all-encompassing,positive
all-important,positive
all-inclusive,positive
all-knowing,positive
all-night,positive
all-powerful,positive
all,positive
allan,positive
allard,positive
allattractions,positive
allawi,positive
allay,positive
alle,negative
alleen,negative
allegation,negative
allege,negative
alleged,negative
alleged,negative
allegement,negative
allegiance,positive
allegiance,positive
allegory,negative
allegra,negative
allegro,negative
allegro,positive
allein,negative
allein,negative
allele,negative
allelic,negative
allelomorph,negative
allelomorphic,negative
allem,negative
allemaal,negative
allen,negative
allentown,positive
aller,negative
aller,negative
aller,negative
allerdings,negative
allergen,negative
allergenic,negative
allergenicity,negative
allergic,negative
allergic,negative
allergy,negative
alles,positive
alles,negative
alles,negative
alleviant,positive
alleviate,positive
alleviated,positive
alleviation,positive
alleviative,positive
alleviator,positive
alleviatory,positive
alley,negative
alleyway,negative
allfusion,positive
alliance,positive
alliance,positive
allied,positive
allievate,positive
alligator,positive
alligatored,negative
alliierten,negative
allis,negative
allison,positive
alllearn,positive
allmouth,positive
allnew,positive
alloc,negative
allocable,negative
allocatable,negative
allochthonous,positive
allogamy,positive
allogeneic,negative
allograft,negative
allopathic,positive
allopathy,positive
allopatric,positive
allopatry,positive
allot,positive
allotment,positive
allow,positive
allowable,positive
allowance,positive
alloy,positive
alloy,negative
allprep,negative
allrounder,positive
allstar,positive
allstate,negative
allstate,negative
allsync,positive
allude,positive
allulli,positive
allure,positive
allurement,positive
alluring,positive
alluviation,positive
alluvion,negative
alluvium,negative
ally,positive
ally,positive
alma,negative
almanac,positive
almanac,positive
almb,negative
almelo,negative
almibar,negative
almighty,positive
almighty,positive
almighty,positive
almond,positive
almost,positive
almquist,positive
aln,negative
alnd,positive
aloe,positive
aloe,negative
aloha,positive
aloha,positive
alone,positive
aloneness,negative
alonewe,positive
along,positive
aloof,negative
aloofness,negative
alopecia,negative
alot,negative
alot,positive
aloud,positive
alp,positive
alpaca,positive
alpaca,positive
alpen,negative
alper,positive
alpes,negative
alphabet,negative
alphabetic,negative
alphabetical,positive
alphabetisch,negative
alphabetised,positive
alphabetized,positive
alphameasure,positive
alphameric,negative
alphamerical,negative
alphanumeric,negative
alphanumerical,negative
alpine,positive
alpine,positive
alpine,positive
alpinism,positive
alpinism,positive
alrosa,negative
als,negative
alsa,positive
alsace,positive
also-ran,negative
also,positive
alstroemeria,positive
alt,positive
alta,positive
altar,positive
altar,positive
altarpiece,negative
alte,negative
altegeileweibern,negative
alten,negative
alten,negative
alter,negative
altera,positive
alterability,negative
alterable,negative
alterative,positive
altercate,negative
altercation,negative
alteren,negative
altering,positive
alternaria,negative
alternate,positive
alternate,positive
alternatecontent,negative
alternating,positive
alternation,negative
alternativ,negative
alternator,negative
alternet,positive
alterntives,negative
altes,negative
alteschlampenn,negative
alti,negative
alticor,positive
altijd,negative
altima,negative
altimeter,negative
altitude,positive
altitude,negative
altivec,negative
altogether,negative
alton,negative
altools,positive
altoona,positive
altough,positive
altrec,positive
altricial,positive
altruism,negative
altruist,positive
altruistic,positive
alumina,positive
aluminium,positive
alumnium,negative
alvaro,negative
alveolus,negative
alvestrand,positive
alw,positive
always,positive
alysha,positive
alzheimer,negative
alzheimers,positive
alzheimers,negative
ama,positive
amadeus,negative
amah,negative
amakudari,positive
amalek,negative
amalekite,negative
amalgam,negative
amalgam,negative
amalgamate,positive
amalgamate,positive
amalgamated,positive
amalgamation,positive
amanda,positive
amano,negative
amarga,positive
amaryllis,positive
amaryllis,negative
amasing,positive
amass,positive
amateau,positive
amateur,negative
amateure,negative
amateurfickn,negative
amateurish,negative
amateurn,negative
amateurpornn,negative
amateurpornon,negative
amateurpornosn,negative
amative,positive
amativeness,positive
amator,negative
amatory,positive
amatuer,negative
amatures,negative
amaze,positive
amazed,negative
amazement,positive
amazing,positive
amazing,positive
amazon,positive
amazon,positive
amazone,negative
amazonia,positive
amazonian,positive
amb,positive
amba,positive
ambasador,positive
ambassador,positive
ambassador,negative
amber,positive
ambiance,positive
ambiance,positive
ambidextrous,negative
ambidextrous,positive
ambien,negative
ambience,positive
ambient,positive
ambiente,positive
ambiguity,negative
ambiguous,negative
ambit,positive
ambit,negative
ambitionless,negative
ambitious,positive
ambitiousness,positive
ambivalence,negative
ambivalency,negative
ambivalent,positive
ambler,negative
amblyopia,negative
ambo,negative
ambrosia,positive
ambrotose,positive
ambulance,negative
ambulant,positive
ambulatory,positive
ambulatory,positive
ambundance,positive
ambuscade,negative
ambuscade,negative
ambush,negative
ambush,negative
ambush,negative
ambushment,negative
amc,positive
amd,positive
ameba,negative
amelia,positive
amelie,negative
ameliorate,positive
amelioration,positive
amenability,negative
amenable,positive
amenableness,negative
amended,negative
amendment,positive
amendment,positive
amends,positive
ameneties,positive
amenites,positive
amenitites,positive
amenity,positive
amentia,negative
amenties,positive
amentities,positive
amercement,negative
america,negative
american,positive
americana,negative
americanized,positive
americhip,positive
americorps,negative
amerika,negative
amerinet,positive
ameriprise,positive
ameriquest,negative
amerisave,positive
ameristeel,negative
amerisuites,positive
amerks,positive
amerock,positive
ames,positive
ametabolic,positive
ametabolous,positive
amethopterin,positive
amethyst,negative
ametropic,positive
amex,negative
amex,negative
amhca,positive
amherst,positive
ami,negative
amicable,positive
amici,positive
amicor,positive
amicus,positive
amidala,negative
amiga,positive
amilo,positive
amin,negative
amine,negative
aminoalkane,negative
amir,negative
amis,negative
amish,negative
amit,positive
amitriptyline,positive
amity,positive
ammo,negative
ammonia,negative
ammonia,negative
